ISBN,Title,Author,Page Count,Publication Date,Language,AverageRating,RatingsCount
4048692712,ちょっと今から仕事やめてくる,北川恵海,235,2015-02-25,ja,3.0,9.0
4048659502,ヒーローズ(株)!!!,北川恵海,329,2016-04-01,ja,5.0,1.0
404870138X,0能者ミナト,葉山透,341,2011-02-01,ja,,
4102134034,シャーロック・ホームズの思い出,"ドイル,A.(アーサー)C.",350,1989-01-01,ja,,
4102134069,四つの署名,"ドイル,A.(アーサー)C.",196,1993-01-01,ja,3.0,1.0
024195293X,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,301,2011-07-11,en,3.5,18.0
4042982212,A Study in Scarlet,"Sir Arthur Conan Doyle, Sir",201,2012-02-01,en,,
4086800543,宝石商リチャード氏の謎鑑定,辻村七子,286,2015-12-22,ja,,
4048691899,ビブリア古書堂の事件手帖6 ~栞子さんと巡るさだめ~,三上延,315,2014-12-01,ja,3.0,9.0
4048704699,ビブリア古書堂の事件手帖,三上延,307,2011-03-01,ja,3.0,23.0
4048914278,ビブリア古書堂の事件手帖 4,三上延,333,2013-02-01,ja,3.0,74.0
4048866583,ビブリア古書堂の事件手帖,三上延,302,2012-06-23,ja,3.5,14.0
4087452069,マスカレード・ホテル,東野圭吾,515,2014-07-25,ja,4.0,15.0
4087452166,マスカレード・イブ,東野圭吾,331,2014-08-25,ja,3.5,11.0
4062730170,悪意,東野圭吾,376,2000-11-01,ja,3.5,15.0
4167110156,真夏の方程式,東野圭吾,463,2013-05-10,ja,,
4062645750,どちらかが彼女を殺した,東野圭吾,362,1999-01-01,ja,3.5,19.0
4396335210,陽気なギャングの日常と襲撃,伊坂幸太郎,436,2009-08-01,ja,4.0,9.0
4396210264,陽気なギャングは三つ数えろ,伊坂幸太郎,225,2015-10-20,ja,4.0,4.0
4086003937,伯爵と妖精,谷瑞恵,278,2004-03-01,ja,4.5,2.0
408600559X,伯爵と妖精プロポーズはお手やわらかに,谷瑞恵,288,2005-03-01,ja,,
4086004747,伯爵と妖精,谷瑞恵,275,2004-09-01,ja,,
4403664024,クロネコ彼氏の甘え方,亜也·左京,167,2013-01-01,ja,,
9784151200533,一九八四年,ジョージ・オーウェル,511,2009-06-01,ja,3.0,4.0
4102028056,モルグ街の殺人・黄金虫,エドガー・アランポー,280,2009-05-01,ja,,
4896840291,鼻,芥川龍之介,51,2005-07-01,ja,,
4101092060,注文の多い料理店,宮沢賢治,362,1990-01-01,ja,,
4041017130,文豪ストレイドッグス,朝霧カフカ,244,2014-08-01,ja,,
4434181505,ありふれたチョコレート,秋川滝美,301,2013-07-31,ja,,
4803003211,グッドカミング,村上桃子,251,2012-05-05,ja,,
4344828674,ヘタリア,日丸屋秀和,128,2013-10-01,ja,,
4344825632,Hetalia,日丸屋秀和,133,2012-07-31,ja,,
4344819381,ヘタリア,日丸屋秀和,132,2010-05-01,ja,,
4344822331,ヘタリア,日丸屋秀和,133,2011-06-01,ja,,
4344815351,ヘタリア,日丸屋秀和,132,2008-01-01,ja,,
4062733854,私が彼を殺した,東野圭吾,431,2002-03-01,ja,5.0,2.0
4048706845,0能者ミナト,葉山透,261,2011-06-01,ja,,
4594014569,モーリス,"フォースター,E.M.",384,1994-01-01,ja,,
4091325149,窮鼠はチーズの夢を見る,水城せとな,200,2009-05-01,ja,,
4063870170,鬼灯の冷徹 1,江口夏実,124,2011-05-01,ja,,
4396332688,陽気なギャングが地球を回す,伊坂幸太郎,394,2006-02-01,ja,4.0,31.0
4094060863,世界から猫が消えたなら,川村元気,229,2014-09-23,ja,3.0,12.0
1401954871,The Year of Less,Cait Flanders,189,2018-01-01,en,3.0,13.0
434403516X,どうしても生きてる,朝井リョウ,323,2019-10-10,ja,,
4309412106,スリ,中村文則,187,2013-04-20,ja,3.0,6.0
4048862685,0能者ミナト,葉山透,271,2011-12-01,ja,,
4041026229,小説君の名は。,新海誠,272,2016-06-01,ja,4.0,3.0
4048868055,0能者(れいのうしゃ)ミナト,葉山透,248,2012-07-25,ja,,
4198942307,アキラとあきら,池井戸潤,713,2017-05-01,ja,5.0,1.0
4163818405,64(ロクヨン),横山秀夫,647,2012-10-01,ja,3.5,8.0
9784151200519,わたしを離さないで,イシグロカズオ,450,2008-08-01,ja,3.0,3.0
1409181634,The Silent Patient,Alex Michaelides,352,2019-12-01,en,3.5,128.0
4150306133,恋,小池真理子,462,1999-04-01,ja,,
4101250278,オー!ファーザー,伊坂幸太郎,557,2013-07-01,ja,4.0,10.0
4167904381,ロスジェネの逆襲,池井戸潤,432,2015-09-01,ja,4.0,11.0
4048679058,デュラララ!!×6,成田良悟,413,2009-07-10,ja,3.0,2.0
4151310800,And Then There Were None,Agatha Christie,387,2010-11-01,ja,4.0,2.0
4044000786,痴人の愛,谷崎潤一郎,409,2016-03-25,ja,,
4757534604,黒執事,枢やな,167,2011-01-01,ja,,
4102063013,グレート・ギャツビー,Francis Scott Fitzgerald,262,1974-01-01,ja,3.0,1.0
4757537662,黒執事,枢やな,158,2012-01-01,ja,,
4757536119,黒執事,枢やな,166,2012-01-01,ja,,
4086005999,伯爵と妖精,谷瑞恵,297,2005-06-01,ja,,
4800226104,ぼくは明日、昨日のきみとデートする,七月隆文,287,2014-08-20,ja,4.5,4.0
4043878028,夜は短し歩けよ乙女,森見登美彦,320,2008-12-01,ja,4.0,16.0
4086006405,伯爵と妖精,谷瑞恵,285,2005-09-01,ja,,
4048912658,0能者(れいのうしゃ)ミナト,葉山透,278,2012-12-25,ja,,
4048927531,猫曰く、エスパー課長は役に立たない。,山口幸三郎,338,2017-02-01,ja,,
4758436525,走れメロス,太宰治,125,2012-04-01,ja,,
4061851306,眠りの森,東野圭吾,328,1992-01-01,ja,3.5,15.0
4044539030,家政夫は今日も眠れない,夏目もも,222,2009-06-01,ja,,
4102081011,ドリアン・グレイの肖像,オスカー ワイルド,428,2004-07-30,ja,,
1847494080,Lady Chatterley's Lover,David Herbert Lawrence,384,2015-03-15,en,3.5,54.0
404275001X,アルケミスト,パウロ・コエーリョ,199,1997-02-01,ja,3.5,15.0
4839958009,二階堂弁護士は今日も仕事がない,佐藤大和,291,2016-03-20,ja,,
4560072078,冬の夜ひとりの旅人が,イタロカルヴィーノ,360,2016-10-01,ja,,
4062736691,嘘をもうひとつだけ,東野圭吾,269,2003-02-01,ja,3.0,1.0
