completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
2021/04/06,The Bookish Life of Nina Hill,Abbi Waxman,352,y,5,Completed,Audiobook,Libby,Hachette Book,Headline Review,9-Jul-2019,Fiction,Realist Literature,eng
2020/02/19,Twas The Nightshift Before Christmas,Adam Kay,160,y,4,Completed,Physical Book,,Macmillan Publishers,Picador,13-Oct-2022,Nonfiction,Humour/ Satire,eng
2018/09/19,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,304,y,5,Completed,Physical Book,,Macmillan Publishers,Picador,3-Feb-2022,Nonfiction,Humour/ Satire,eng
2020/10/11,Poirot Investigates,Agatha Christie,224,y,1.5,Completed,Physical Book,,HarperCollins,HarperCollins,24-Mar-2016,Fiction,Mystery,eng
2020/10/10,Peril at End House,Agatha Christie,252,y,3,Completed,Physical Book,,HarperCollins,HarperCollins,24-Sep-2015,Fiction,Mystery,eng
2017/01/20,AND THEN THERE WERE NONE,Agatha Christie,256,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,3-Dec-2015,Fiction,Mystery,eng
2021/09/25,Dear Mrs. Bird,AJ Pearce,320,y,4.5,Completed,Audiobook,BorrowBox,Macmillan Publishers,Picador,27-Dec-2018,Fiction,Romance,eng
,Yours Cheerfully,AJ Pearce,368,,,TBR,Audiobook,BorrowBox,Macmillan Publishers,Picador,7-Jul-2022,Fiction,Romance,eng
2019/12/10,The Colours of all the Cattle,Alexander McCall Smith,240,y,3,Completed,Audiobook,BorrowBox,Hachette Book,Abacus,2-May-2019,Fiction,Mystery,eng
2021/04/27,Confessions of a Forty-something F##k Up,Alexandra Potter,528,y,4,Completed,Audiobook,BorrowBox,Macmillan Publishers,Pan,9-Dec-2021,Nonfiction,Humour/ Satire,eng
2019/12/31,A Gentleman in Moscow,Amor Towles,512,y,3,Completed,Physical Book,,Windmill Books,Windmill Books,2-Nov-2017,Fiction,History,eng
2019/06/23,Call Me By Your Name,Andre Aciman,256,n,5,Completed,Physical Book,,Atlantic Books,Atlantic Books,21-Sep-2017,Fiction,Bildungsroman,eng
2021/10/16,The Female Detective,Andrew Forrester,328,y,1,Completed,Physical Book,,The British Library Publishing Division,The British Library Publishing Division,15-Jun-2014,Fiction,Mystery,eng
2019/12/09,How To Be Parisian: Wherever You Are,"Anne Berest, Audrey Diwan, Caroline de Maigret, Sophie Mas",272,y,3,Completed,Audiobook,Libby,Penguin,Ebury Press,4-Sep-2014,Nonfiction,Fashion,eng
