completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
4/6/2021,The Bookish Life of Nina Hill,Abbi Waxman,352,y,5,Completed,Audiobook,Libby,Hachette Book,Headline Review,7/9/2019,Fiction,Realist Literature,eng
2/19/2020,Twas The Nightshift Before Christmas,Adam Kay,160,y,4,Completed,Physical Book,,Macmillan Publishers,Picador,10/13/2022,Nonfiction,Humour/ Satire,eng
9/19/2018,This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,304,y,5,Completed,Physical Book,,Macmillan Publishers,Picador,2/3/2022,Nonfiction,Humour/ Satire,eng
10/11/2020,Poirot Investigates,Agatha Christie,224,y,1.5,Completed,Physical Book,,HarperCollins,HarperCollins,3/24/2016,Fiction,Mystery,eng
10/10/2020,Peril at End House,Agatha Christie,252,y,3,Completed,Physical Book,,HarperCollins,HarperCollins,9/24/2015,Fiction,Mystery,eng
1/20/2017,AND THEN THERE WERE NONE,Agatha Christie,256,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,12/3/2015,Fiction,Mystery,eng
9/25/2021,Dear Mrs. Bird,AJ Pearce,320,y,4.5,Completed,Audiobook,BorrowBox,Macmillan Publishers,Picador,12/27/2018,Fiction,Romance,eng
,Yours Cheerfully,AJ Pearce,368,,,TBR,Audiobook,BorrowBox,Macmillan Publishers,Picador,7/7/2022,Fiction,Romance,eng
12/10/2019,The Colours of all the Cattle,Alexander McCall Smith,240,y,3,Completed,Audiobook,BorrowBox,Hachette Book,Abacus,5/2/2019,Fiction,Mystery,eng
4/27/2021,Confessions of a Forty-something F##k Up,Alexandra Potter,528,y,4,Completed,Audiobook,BorrowBox,Macmillan Publishers,Pan,12/9/2021,Nonfiction,Humour/ Satire,eng
12/31/2019,A Gentleman in Moscow,Amor Towles,512,y,3,Completed,Physical Book,,Windmill Books,Windmill Books,11/2/2017,Fiction,History,eng
6/23/2019,Call Me By Your Name,Andre Aciman,256,n,5,Completed,Physical Book,,Atlantic Books,Atlantic Books,9/21/2017,Fiction,Bildungsroman,eng
10/16/2021,The Female Detective,Andrew Forrester,328,y,1,Completed,Physical Book,,The British Library Publishing Division,The British Library Publishing Division,6/15/2014,Fiction,Mystery,eng
12/9/2019,How To Be Parisian: Wherever You Are,"Anne Berest, Audrey Diwan, Caroline de Maigret, Sophie Mas",272,y,3,Completed,Audiobook,Libby,Penguin,Ebury Press,9/4/2014,Nonfiction,Fashion,eng
1/6/2022,The Happy Closet,Annmarie O'Connor,302,n,2,Completed,Audiobook,BorrowBox,Gill Books,Gill Books,12/30/2016,Nonfiction,Fashion,eng
7/1/2021,Magpie Murders,Anthony Horowitz,560,y,2,Completed,Audiobook,BorrowBox,Orion,Orion,11/16/2017,Fiction,Mystery,eng
4/22/2018,Magpie Murders,Anthony Horowitz,560,y,2,Completed,Physical Book,,Orion,Orion,11/16/2017,Fiction,Mystery,eng
8/14/2021,The Sentence Is Death,Anthony Horowitz,400,y,2,Completed,Audiobook,Audible,penguin,Century,9/24/2019,Fiction,Mystery,eng
7/5/2021,Moonflower Murders,Anthony Horowitz,608,y,2,Completed,Audiobook,Audible,penguin,Arrow,4/29/2021,Fiction,Mystery,eng
10/4/2020,The Warden,Anthony Trollope,201,y,1,Completed,Physical Book,,Penguin,Penguin Classics,1/1/2004,Fiction,Humour/ Satire,eng
10/26/2020,Doctor Thorne,Anthony Trollope,592,y,4,Completed,Physical Book,,Penguin,Penguin Classics,4/25/1991,Fiction,Literary Fiction,eng
4/27/2020,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,368,y,2,Completed,Physical Book,,Penguin,Penguin,4/7/2015,Fiction,Bildungsroman,eng
3/11/2020,Bad Science,Ben Goldacre,382,y,4,Completed,Physical Book,,HarperCollins,Fourth Estate (GB),4/1/2009,Nonfiction,science,eng
1/17/2022,Hunch: Turn Your Everyday Insights into the Next Big Thing,Bernadette Jiwa,176,n,4,Completed,Audiobook,BorrowBox,Penguin,Penguin,6/1/2017,Nonfiction,Business,eng
5/31/2020,A Short History of Nearly Everything,Bill Bryson,672,n,3,Completed,Audiobook,Libby,penguin,Black Swan,6/16/2016,Nonfiction,science,eng
5/23/2021,Elantris,Brandon Sanderson,608,n,3,Completed,Audiobook,Audible,Orion,Gollancz,9/8/2016,Fiction,Fantasy,eng
12/22/2020,The Hero of Ages,Brandon Sanderson,768,y,3.5,Completed,Physical Book,,Orion,Gollancz,2/11/2010,Fiction,Fantasy,eng
11/24/2020,The Well of Ascension,Brandon Sanderson,800,y,2.5,Completed,Physical Book,,Orion,Gollancz,12/10/2009,Fiction,Fantasy,eng
