completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
,ボッコちゃん,星 新一,315,n,2,Completed,Physical Book,,新潮社,新潮文庫,25-May-1971,Fiction,science fiction,jp
12-05-20,三毛猫ホームズの推理,赤川 次郎,368,y,3,Completed,E-Book,Kindle,KADOKAWA,角川文庫,1-Apr-1984,Fiction,Mystery,jp
06-24-20,ミステリ博物館,赤川 次郎,339,n,4,Completed,Physical Book,,KADOKAWA,角川文庫,1-Jul-1985,Fiction,Mystery,jp
02-28-19,Jacques the Fatalist and His Master,Denis Diderot,261,y,2.5,Completed,Physical Book,,Penguin Random House,Penguin Classics,30-Jan-1986,Fiction,Humour/ Satire,jp
02-15-18,卒業,東野 圭吾,371,y,4.5,Completed,Physical Book,,講談社,講談社文庫,8-May-1989,Fiction,Mystery,jp
11-01-20,吾輩は猫である,夏目 漱石,563,y,3.5,Completed,Audiobook,Audible,岩波書店,岩波文庫,16-Apr-1990,Fiction,Literary Fiction,jp
,注文の多い料理店,宮沢 賢治,358,n,,Completed,Physical Book,,新潮社,新潮文庫,29-May-1990,Fiction,Fantasy,jp
07-17-20,本日は泥棒日和,赤川 次郎,318,y,5,Completed,Physical Book,,徳間文庫,徳間文庫,1-Oct-1990,Fiction,Humour/ Satire,jp
10-26-20,Doctor Thorne,Anthony Trollope,592,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,25-Apr-1991,Fiction,Literary Fiction,eng
05-10-17,If On A Winter's Night A Traveller,Italo Calvino,272,y,4,Completed,Physical Book,,Penguin Random House,Vintage Classics,20-Feb-1992,Fiction,Humour/ Satire,eng
08-06-20,銀の海 金の大地,氷室 冴子,252,y,2,Completed,Physical Book,,集英社,コバルト文庫,3-Mar-1992,Fiction,Fantasy,jp
03-17-17,眠りの森,東野 圭吾,328,y,4,Completed,Physical Book,,講談社,講談社文庫,3-Apr-1992,Fiction,Mystery,jp
06-14-18,Pride & Prejudice,Jane Austen,329,y,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-May-1992,Fiction,Romance,eng
09-12-17,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,256,y,4.5,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-Jul-1993,Fiction,Science Fiction,eng
10-24-20,Shirley,Charlotte Bronte,528,y,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-Aug-1993,Fiction,Romance,eng
09-01-18,名探偵コナン (1),青山 剛昌,181,y,4,Completed,Manga,,小学館,少年サンデーコミックス,18-Jun-1994,Fiction,Mystery,jp
09-06-18,名探偵コナン (2),青山 剛昌,176,n,3,Completed,Manga,,小学館,少年サンデーコミックス,18-Jul-1994,Fiction,Mystery,jp
07-20-19,The Alchemist,Paulo Coelho,224,n,5,Completed,Physical Book,,HarperCollins,HarperCollins,1-Jan-1995,Fiction,Bildungsroman,eng
04-18-17,The Alchemist,Paulo Coelho,224,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,1-Jan-1995,Fiction,Self Help,eng
06-28-17,おかっさまごっこ―小さい小さいこいものがたり,代田 昇,31,y,1,Completed,Physical Book,,童心社,童心社,1-Mar-1996,Fiction,Picture book,jp
04-26-20,The Moonstone,Wilkie Collins,528,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,26-Nov-1998,Fiction,Mystery,eng
,どちらかが彼女を殺した,東野 圭吾,356,y,5,Completed,Physical Book,,講談社,講談社文庫,14-May-1999,Fiction,Mystery,jp
07-21-17,Breakfast at Tiffany's,Truman Capote,160,y,3,Completed,Physical Book,,Penguin Random House,Penguin Classics,27-Apr-2000,Fiction,Literary Fiction,eng
03-10-19,Crime and Punishment,Fyodor Dostoevsky,528,y,2.5,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-May-2000,Fiction,Literary Fiction,eng
01-03-19,Hard-Boiled Wonderland And The End Of The World,Haruki Murakami,416,y,3,Completed,Physical Book,,Penguin Random House,Vintage,1-Jan-2001,Fiction,Magical realism,eng
,悪意,東野 圭吾,376,y,5,Completed,Physical Book,,講談社,講談社文庫,17-Jan-2001,Fiction,Mystery,jp
,A Study in Scarlet & The Sign of the Four,Sir Arthur Conan Doyle,224,n,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,5-Dec-2001,Fiction,Mystery,eng
06-13-17,探偵ガリレオ,東野 圭吾,330,n,4,Completed,Physical Book,,文藝春秋,文春文庫,10-Feb-2002,Fiction,Mystery,jp
,私が彼を殺した,東野 圭吾,448,y,4,Completed,Physical Book,,講談社,講談社文庫,15-Mar-2002,Fiction,Mystery,jp
03-25-17,The Picture of Dorian Gray,Wilde Oscar,304,y,4,Completed,Physical Book,,Penguin Random House,Penguin Classics,30-Jan-2003,Fiction,Literary Fiction,eng
05-28-17,嘘をもうひとつだけ,東野 圭吾,272,y,4,Completed,Physical Book,,講談社,講談社文庫,14-Feb-2003,Fiction,Mystery,jp
01-18-20,重力ピエロ,伊坂 幸太郎,337,y,4,Completed,Physical Book,,新潮社,新潮社,1-Apr-2003,Fiction,Mystery,jp
10-06-20,予知夢,東野 圭吾,270,y,4,Completed,Physical Book,,文藝春秋,文春文庫,1-Aug-2003,Fiction,Mystery,jp
09-13-19,オーデュボンの祈り,伊坂 幸太郎,464,n,,Completed,Physical Book,,新潮社,新潮文庫,28-Nov-2003,Fiction,Mystery,jp
10-04-20,The Warden,Anthony Trollope,201,y,1,Completed,Physical Book,,Penguin Random House,Penguin Classics,1-Jan-2004,Fiction,Humour/ Satire,eng
